"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
10	0.922810192382433	14	14	"Churn"	"Yes"	0
11	0.925900116144019	14	14	"Churn"	"Yes"	0
12	0.920673953871722	14	14	"Churn"	"Yes"	0
13	0.935031960227273	14	14	"Churn"	"Yes"	0
14	0.879405840886203	13	14	"Churn"	"Yes"	0
15	0.898624883838562	14	14	"Churn"	"Yes"	0
16	0.927451647666043	14	14	"Churn"	"Yes"	0
17	0.896499238964992	14	14	"Churn"	"Yes"	0
18	0.921645005661399	14	14	"Churn"	"Yes"	0
19	0.898420177383592	14	14	"Churn"	"Yes"	0
20	0.903792018546117	14	14	"Churn"	"Yes"	0
21	0.877994448878459	14	14	"Churn"	"Yes"	0
22	0.887171122147084	14	14	"Churn"	"Yes"	0
23	0.889137477840944	14	14	"Churn"	"Yes"	0
24	0.925212075848303	14	14	"Churn"	"Yes"	0
25	0.915621107833497	14	14	"Churn"	"Yes"	0
26	0.952712001976215	14	14	"Churn"	"Yes"	0
27	0.909828054298643	14	14	"Churn"	"Yes"	0
28	0.927916764086977	14	14	"Churn"	"Yes"	0
29	0.90593468403834	14	14	"Churn"	"Yes"	0
30	0.936803864425726	14	14	"Churn"	"Yes"	0
1	0.920396202365778	15	15	"Churn"	"Yes"	0
2	0.856033392360233	15	15	"Churn"	"Yes"	0
3	0.881731642503952	15	15	"Churn"	"Yes"	0
4	0.928342047840586	15	15	"Churn"	"Yes"	0
5	0.904335909470539	15	15	"Churn"	"Yes"	0
6	0.935724659085315	15	15	"Churn"	"Yes"	0
7	0.920944167153085	15	15	"Churn"	"Yes"	0
8	0.909096194844628	15	15	"Churn"	"Yes"	0
9	0.932075518141092	15	15	"Churn"	"Yes"	0
10	0.931722435860644	15	15	"Churn"	"Yes"	0
11	0.904514126614633	15	15	"Churn"	"Yes"	0
12	0.904484780439122	15	15	"Churn"	"Yes"	0
13	0.926606158264549	15	15	"Churn"	"Yes"	0
14	0.898661997126437	15	15	"Churn"	"Yes"	0
15	0.897102589314979	15	15	"Churn"	"Yes"	0
16	0.909339366515837	14	15	"Churn"	"Yes"	0
17	0.907429453262787	14	15	"Churn"	"Yes"	0
18	0.879662528111568	15	15	"Churn"	"Yes"	0
19	0.906024805986696	15	15	"Churn"	"Yes"	0
20	0.887228456337218	15	15	"Churn"	"Yes"	0
21	0.915595554337856	15	15	"Churn"	"Yes"	0
22	0.894175309891222	15	15	"Churn"	"Yes"	0
23	0.89898275729773	14	15	"Churn"	"Yes"	0
24	0.911314870259481	15	15	"Churn"	"Yes"	0
25	0.874564226334138	15	15	"Churn"	"Yes"	0
26	0.898072763028515	15	15	"Churn"	"Yes"	0
27	0.922808256808728	15	15	"Churn"	"Yes"	0
28	0.931172393292889	15	15	"Churn"	"Yes"	0
29	0.904574656623837	15	15	"Churn"	"Yes"	0
30	0.884435293513957	15	15	"Churn"	"Yes"	0
1	0.895801719777441	15	16	"Churn"	"Yes"	0
2	0.900943451032335	14	16	"Churn"	"Yes"	0
3	0.888568983434195	15	16	"Churn"	"Yes"	0
4	0.900359375769212	16	16	"Churn"	"Yes"	0
5	0.930260076573284	16	16	"Churn"	"Yes"	0
6	0.891089171094447	16	16	"Churn"	"Yes"	0
7	0.921823462807069	16	16	"Churn"	"Yes"	0
8	0.917755681818182	15	16	"Churn"	"Yes"	0
9	0.892870329345739	16	16	"Churn"	"Yes"	0
10	0.91726266886729	16	16	"Churn"	"Yes"	0
11	0.881955890432462	16	16	"Churn"	"Yes"	0
12	0.924995154725757	15	16	"Churn"	"Yes"	0
13	0.878508831986855	16	16	"Churn"	"Yes"	0
14	0.900153031480762	15	16	"Churn"	"Yes"	0
15	0.912597713030557	16	16	"Churn"	"Yes"	0
16	0.906143407298735	16	16	"Churn"	"Yes"	0
17	0.916116737833927	16	16	"Churn"	"Yes"	0
18	0.912116114561767	16	16	"Churn"	"Yes"	0
19	0.896502162142069	16	16	"Churn"	"Yes"	0
20	0.90520176141843	16	16	"Churn"	"Yes"	0
21	0.930846930846931	15	16	"Churn"	"Yes"	0
22	0.904624034911044	16	16	"Churn"	"Yes"	0
23	0.917528554209952	16	16	"Churn"	"Yes"	0
24	0.907109841712816	16	16	"Churn"	"Yes"	0
25	0.89720060331825	16	16	"Churn"	"Yes"	0
26	0.889148401006108	16	16	"Churn"	"Yes"	0
27	0.893487427768234	16	16	"Churn"	"Yes"	0
28	0.908528645833333	16	16	"Churn"	"Yes"	0
29	0.935258031874526	16	16	"Churn"	"Yes"	0
30	0.898014818096785	16	16	"Churn"	"Yes"	0
1	0.883402606732348	16	17	"Churn"	"Yes"	0
2	0.885596662236007	17	17	"Churn"	"Yes"	0
