"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_x"
22	0.978981837892729	10	12	"CO2"	0.5
23	0.981588596808346	9	12	"CO2"	0.5
24	0.982468767120345	8	12	"CO2"	0.5
25	0.978256276273628	9	12	"CO2"	0.5
26	0.978216363502467	7	12	"CO2"	0.5
27	0.977279023145617	9	12	"CO2"	0.5
28	0.980725754023039	11	12	"CO2"	0.5
29	0.976499651555492	8	12	"CO2"	0.5
30	0.974222060523049	11	12	"CO2"	0.5
1	0.981346618293241	11	13	"CO2"	0.5
2	0.963090325538744	9	13	"CO2"	0.5
3	0.975651794367727	8	13	"CO2"	0.5
4	0.977103131795688	9	13	"CO2"	0.5
5	0.988316980873615	10	13	"CO2"	0.5
6	0.991737291158384	9	13	"CO2"	0.5
7	0.982746280909069	9	13	"CO2"	0.5
8	0.972754946727549	10	13	"CO2"	0.5
9	0.981272690455183	11	13	"CO2"	0.5
10	0.983843240555608	8	13	"CO2"	0.5
11	0.978722441506728	12	13	"CO2"	0.5
12	0.981527732052781	7	13	"CO2"	0.5
13	0.981799732704236	10	13	"CO2"	0.5
14	0.984238776551748	10	13	"CO2"	0.5
15	0.973661560114762	8	13	"CO2"	0.5
16	0.981864813435923	10	13	"CO2"	0.5
17	0.987886067261496	9	13	"CO2"	0.5
18	0.968637235432897	9	13	"CO2"	0.5
19	0.984827136842574	10	13	"CO2"	0.5
20	0.980663831431104	9	13	"CO2"	0.5
21	0.983299710438898	9	13	"CO2"	0.5
22	0.977343575448713	7	13	"CO2"	0.5
23	0.984689026400742	12	13	"CO2"	0.5
24	0.984682073843849	9	13	"CO2"	0.5
25	0.988284243855579	9	13	"CO2"	0.5
26	0.964722070348096	9	13	"CO2"	0.5
27	0.983436209041606	9	13	"CO2"	0.5
28	0.982006458314196	10	13	"CO2"	0.5
29	0.972965172553367	9	13	"CO2"	0.5
30	0.979051334319802	11	13	"CO2"	0.5
1	0.989029706167259	10	14	"CO2"	0.5
2	0.972839199104589	12	14	"CO2"	0.5
3	0.987599060242654	7	14	"CO2"	0.5
4	0.976829333666887	8	14	"CO2"	0.5
5	0.977522306108442	9	14	"CO2"	0.5
6	0.972274432763442	9	14	"CO2"	0.5
7	0.985959061051988	10	14	"CO2"	0.5
8	0.960990401682993	11	14	"CO2"	0.5
9	0.962181148312861	8	14	"CO2"	0.5
10	0.982606268055252	9	14	"CO2"	0.5
11	0.978439311594203	12	14	"CO2"	0.5
12	0.975394600727467	9	14	"CO2"	0.5
13	0.972581309667332	7	14	"CO2"	0.5
14	0.985242753623188	8	14	"CO2"	0.5
15	0.978296682246571	11	14	"CO2"	0.5
16	0.974402828989311	11	14	"CO2"	0.5
17	0.977568685000997	10	14	"CO2"	0.5
18	0.979478003917343	12	14	"CO2"	0.5
19	0.975457431923367	9	14	"CO2"	0.5
20	0.965417687866074	7	14	"CO2"	0.5
21	0.965838078669937	11	14	"CO2"	0.5
22	0.970437772410834	11	14	"CO2"	0.5
23	0.97885229433502	10	14	"CO2"	0.5
24	0.98253002897305	7	14	"CO2"	0.5
25	0.970330430621014	13	14	"CO2"	0.5
26	0.978921100138048	10	14	"CO2"	0.5
27	0.975044303643823	8	14	"CO2"	0.5
28	0.970028329634241	10	14	"CO2"	0.5
29	0.98653362099964	8	14	"CO2"	0.5
30	0.987113234362425	13	14	"CO2"	0.5
1	0.977863460419968	8	15	"CO2"	0.5
2	0.971844392076	9	15	"CO2"	0.5
3	0.979635247759529	12	15	"CO2"	0.5
4	0.979345252190386	12	15	"CO2"	0.5
5	0.973534420289855	8	15	"CO2"	0.5
6	0.977146913210347	7	15	"CO2"	0.5
7	0.982414203327602	12	15	"CO2"	0.5
8	0.976735818498982	8	15	"CO2"	0.5
9	0.974120732172	9	15	"CO2"	0.5
10	0.97457652317848	12	15	"CO2"	0.5
11	0.97722414302702	9	15	"CO2"	0.5
12	0.981154223985985	9	15	"CO2"	0.5
13	0.982806873170085	8	15	"CO2"	0.5
14	0.973819931080737	11	15	"CO2"	0.5
15	0.990788108151717	11	15	"CO2"	0.5
16	0.985811663936664	9	15	"CO2"	0.5
17	0.979477644835162	9	15	"CO2"	0.5
18	0.976992485413582	9	15	"CO2"	0.5
19	0.972212923248596	12	15	"CO2"	0.5
20	0.970594453426191	8	15	"CO2"	0.5
21	0.982557014512785	12	15	"CO2"	0.5
22	0.978061381018123	10	15	"CO2"	0.5
23	0.985167965015908	10	15	"CO2"	0.5
24	0.985268115942029	11	15	"CO2"	0.5
25	0.980229968241477	9	15	"CO2"	0.5
26	0.970353739157404	9	15	"CO2"	0.5
27	0.981456960869549	9	15	"CO2"	0.5
28	0.977237544123196	9	15	"CO2"	0.5
29	0.978264971714426	11	15	"CO2"	0.5
30	0.967380280448011	10	15	"CO2"	0.5
1	0.972140778153491	11	16	"CO2"	0.5
2	0.981368752782233	11	16	"CO2"	0.5
3	0.978136998575484	12	16	"CO2"	0.5
4	0.982515523770376	10	16	"CO2"	0.5
5	0.98342761697243	9	16	"CO2"	0.5
6	0.977926816913021	8	16	"CO2"	0.5
7	0.968417136591479	9	16	"CO2"	0.5
8	0.981605072463768	11	16	"CO2"	0.5
9	0.981356193535707	10	16	"CO2"	0.5
10	0.980689491116031	10	16	"CO2"	0.5
11	0.985305785648545	8	16	"CO2"	0.5
12	0.972377114826309	7	16	"CO2"	0.5
13	0.961754316902682	9	16	"CO2"	0.5
14	0.982169766477543	11	16	"CO2"	0.5
15	0.983457400603782	10	16	"CO2"	0.5
16	0.973302003109197	10	16	"CO2"	0.5
17	0.976396006406616	9	16	"CO2"	0.5
18	0.978623794724679	11	16	"CO2"	0.5
19	0.976430654273738	11	16	"CO2"	0.5
20	0.977201007808731	8	16	"CO2"	0.5
21	0.984382538462913	9	16	"CO2"	0.5
22	0.971760607004616	13	16	"CO2"	0.5
23	0.976207053932232	10	16	"CO2"	0.5
24	0.974248812224457	10	16	"CO2"	0.5
25	0.981887576333967	14	16	"CO2"	0.5
26	0.975895608462876	8	16	"CO2"	0.5
27	0.98201877217102	9	16	"CO2"	0.5
28	0.984775567713956	12	16	"CO2"	0.5
29	0.981267048837564	12	16	"CO2"	0.5
30	0.982474960407482	9	16	"CO2"	0.5
1	0.967369350102687	10	17	"CO2"	0.5
2	0.987242570836213	10	17	"CO2"	0.5
3	0.974320484444737	13	17	"CO2"	0.5
4	0.971309682225147	9	17	"CO2"	0.5
5	0.984052471375585	8	17	"CO2"	0.5
6	0.975710935464258	10	17	"CO2"	0.5
7	0.975252495313183	8	17	"CO2"	0.5
8	0.982152349517936	11	17	"CO2"	0.5
9	0.982623657221203	9	17	"CO2"	0.5
10	0.98117198866682	9	17	"CO2"	0.5
11	0.980210251123058	9	17	"CO2"	0.5
12	0.976590530357286	10	17	"CO2"	0.5
13	0.981167637783765	11	17	"CO2"	0.5
14	0.97977604413248	10	17	"CO2"	0.5
15	0.976017365833246	11	17	"CO2"	0.5
16	0.973189423890275	7	17	"CO2"	0.5
17	0.970792164109887	9	17	"CO2"	0.5
18	0.973707113697559	10	17	"CO2"	0.5
19	0.983990815894383	11	17	"CO2"	0.5
20	0.986880110438568	8	17	"CO2"	0.5
21	0.982933847209757	9	17	"CO2"	0.5
22	0.983649381478465	9	17	"CO2"	0.5
23	0.97858972163963	11	17	"CO2"	0.5
24	0.963656967418723	10	17	"CO2"	0.5
25	0.97851153582158	8	17	"CO2"	0.5
26	0.97877358490566	7	17	"CO2"	0.5
27	0.982431296000656	8	17	"CO2"	0.5
28	0.983695261443782	9	17	"CO2"	0.5
29	0.979562235338946	9	17	"CO2"	0.5
30	0.962748088926292	9	17	"CO2"	0.5
1	0.971768163502679	13	18	"CO2"	0.5
2	0.976752732656426	9	18	"CO2"	0.5
3	0.982144711447222	10	18	"CO2"	0.5
4	0.984573112456196	9	18	"CO2"	0.5
5	0.979564097108952	11	18	"CO2"	0.5
6	0.978979891151963	11	18	"CO2"	0.5
7	0.988820520842049	9	18	"CO2"	0.5
8	0.980142723897014	11	18	"CO2"	0.5
9	0.990182248952069	15	18	"CO2"	0.5
10	0.979295637646991	11	18	"CO2"	0.5
11	0.980115521584296	10	18	"CO2"	0.5
12	0.985788707504943	10	18	"CO2"	0.5
13	0.983800801895389	13	18	"CO2"	0.5
14	0.975710496400152	9	18	"CO2"	0.5
15	0.982092659085343	12	18	"CO2"	0.5
16	0.979366049891322	12	18	"CO2"	0.5
17	0.982291589955078	7	18	"CO2"	0.5
18	0.982948580720858	13	18	"CO2"	0.5
19	0.982208594386039	10	18	"CO2"	0.5
20	0.965513018610364	9	18	"CO2"	0.5
21	0.980036855036855	12	18	"CO2"	0.5
22	0.967926318544693	10	18	"CO2"	0.5
23	0.981171213754501	10	18	"CO2"	0.5
24	0.983730179680763	8	18	"CO2"	0.5
25	0.975948318470717	11	18	"CO2"	0.5
26	0.978392879350472	10	18	"CO2"	0.5
27	0.975748389541493	9	18	"CO2"	0.5
28	0.976364251699866	7	18	"CO2"	0.5
29	0.981894525556872	9	18	"CO2"	0.5
30	0.988522253312919	11	18	"CO2"	0.5
1	0.982243543526889	8	19	"CO2"	0.5
2	0.968887860335276	13	19	"CO2"	0.5
3	0.985415617128463	10	19	"CO2"	0.5
4	0.979563784276597	8	19	"CO2"	0.5
5	0.985365766153625	10	19	"CO2"	0.5
6	0.983081505343355	8	19	"CO2"	0.5
7	0.98544444675224	8	19	"CO2"	0.5
8	0.983517608517608	11	19	"CO2"	0.5
9	0.978216214175131	10	19	"CO2"	0.5
10	0.978672711608567	12	19	"CO2"	0.5
11	0.982511659489305	9	19	"CO2"	0.5
12	0.987059161195422	9	19	"CO2"	0.5
13	0.987638732845428	12	19	"CO2"	0.5
14	0.984548068440485	8	19	"CO2"	0.5
15	0.966510032137584	8	19	"CO2"	0.5
16	0.986028544779403	10	19	"CO2"	0.5
17	0.98367259274844	12	19	"CO2"	0.5
18	0.979079003664639	9	19	"CO2"	0.5
19	0.978906056422782	9	19	"CO2"	0.5
20	0.972650310988252	8	19	"CO2"	0.5
21	0.987091073887749	10	19	"CO2"	0.5
22	0.992312066126924	10	19	"CO2"	0.5
23	0.977335495344701	10	19	"CO2"	0.5
24	0.983967364100511	8	19	"CO2"	0.5
25	0.971964649945353	8	19	"CO2"	0.5
26	0.980399559400927	11	19	"CO2"	0.5
27	0.979453824643375	10	19	"CO2"	0.5
28	0.984343306288032	9	19	"CO2"	0.5
29	0.987796759829334	11	19	"CO2"	0.5
30	0.971975830405486	8	19	"CO2"	0.5
1	0.983798111525282	14	20	"CO2"	0.5
2	0.988660546665853	8	20	"CO2"	0.5
3	0.974555372624944	10	20	"CO2"	0.5
4	0.980877258930328	8	20	"CO2"	0.5
5	0.975788088014785	10	20	"CO2"	0.5
6	0.975103734439834	11	20	"CO2"	0.5
7	0.981001325103742	13	20	"CO2"	0.5
