"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
22	0.988057091182091	6	6	"CO2"	0
23	0.964506906348838	6	6	"CO2"	0
24	0.981793309289889	6	6	"CO2"	0
25	0.986387581259807	6	6	"CO2"	0
26	0.976335121677537	6	6	"CO2"	0
27	0.977290480674571	6	6	"CO2"	0
28	0.966411146398359	6	6	"CO2"	0
29	0.983589961417295	6	6	"CO2"	0
30	0.98048871918262	6	6	"CO2"	0
1	0.974145604641092	6	7	"CO2"	0
2	0.977697438769795	6	7	"CO2"	0
3	0.984328783690394	7	7	"CO2"	0
4	0.977702993584426	7	7	"CO2"	0
5	0.985867712478694	7	7	"CO2"	0
6	0.974816306753258	7	7	"CO2"	0
7	0.970925722225438	6	7	"CO2"	0
8	0.9869847684286	7	7	"CO2"	0
9	0.984306436202554	7	7	"CO2"	0
10	0.982538602007629	7	7	"CO2"	0
11	0.984200244158724	7	7	"CO2"	0
12	0.975122920807616	7	7	"CO2"	0
13	0.986706967249177	6	7	"CO2"	0
14	0.973441380912389	6	7	"CO2"	0
15	0.985480875789978	7	7	"CO2"	0
16	0.985298237774539	7	7	"CO2"	0
17	0.978019202979302	6	7	"CO2"	0
18	0.978812197650311	6	7	"CO2"	0
19	0.968938947323014	7	7	"CO2"	0
20	0.985899129879903	6	7	"CO2"	0
21	0.988534420289855	7	7	"CO2"	0
22	0.98108541075293	7	7	"CO2"	0
23	0.983951895508124	6	7	"CO2"	0
24	0.980367945478214	7	7	"CO2"	0
25	0.977592432619212	6	7	"CO2"	0
26	0.976950308625966	7	7	"CO2"	0
27	0.9822073008409	6	7	"CO2"	0
28	0.972728472625521	7	7	"CO2"	0
29	0.98616661435994	7	7	"CO2"	0
30	0.976882258673737	6	7	"CO2"	0
1	0.983199425255052	8	8	"CO2"	0
2	0.976891499305292	8	8	"CO2"	0
3	0.978839673913043	7	8	"CO2"	0
4	0.980064110552625	8	8	"CO2"	0
5	0.977760112864473	7	8	"CO2"	0
6	0.964758222050847	7	8	"CO2"	0
7	0.972511197544089	8	8	"CO2"	0
8	0.965274365274365	8	8	"CO2"	0
9	0.979010890485883	7	8	"CO2"	0
10	0.986013318780408	8	8	"CO2"	0
11	0.977899101589496	8	8	"CO2"	0
12	0.966255522827688	8	8	"CO2"	0
13	0.976274462299492	7	8	"CO2"	0
14	0.981663782310921	7	8	"CO2"	0
15	0.986432924121023	7	8	"CO2"	0
16	0.985899456521739	8	8	"CO2"	0
17	0.981657818301752	7	8	"CO2"	0
18	0.973911484352367	8	8	"CO2"	0
19	0.981139831623257	8	8	"CO2"	0
20	0.993305961541772	8	8	"CO2"	0
21	0.981606643111068	8	8	"CO2"	0
22	0.977234570508421	7	8	"CO2"	0
23	0.974004956124718	8	8	"CO2"	0
24	0.977025187202178	8	8	"CO2"	0
25	0.987853993872824	7	8	"CO2"	0
26	0.971311901527729	7	8	"CO2"	0
27	0.983377482986862	7	8	"CO2"	0
28	0.978911985739602	8	8	"CO2"	0
29	0.974373554819099	8	8	"CO2"	0
30	0.982523616734143	8	8	"CO2"	0
1	0.973428639811474	8	9	"CO2"	0
2	0.985079116133676	8	9	"CO2"	0
3	0.960195839976018	9	9	"CO2"	0
4	0.957516655483941	7	9	"CO2"	0
5	0.962582405725066	9	9	"CO2"	0
6	0.985302389496468	8	9	"CO2"	0
7	0.980681661010097	9	9	"CO2"	0
8	0.977697411520941	8	9	"CO2"	0
9	0.965187293517886	8	9	"CO2"	0
10	0.983588854252003	7	9	"CO2"	0
11	0.987120119060512	9	9	"CO2"	0
12	0.983640232780335	8	9	"CO2"	0
13	0.975187432437145	8	9	"CO2"	0
14	0.976364050774949	8	9	"CO2"	0
15	0.966614548898379	9	9	"CO2"	0
16	0.97705508000732	9	9	"CO2"	0
17	0.982823082239115	8	9	"CO2"	0
18	0.980039737387699	7	9	"CO2"	0
