"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
5	0.972103902940965	5	5	"CO2"	"Yes"	0.1
6	0.953134918614322	5	5	"CO2"	"Yes"	0.1
7	0.97174644701522	5	5	"CO2"	"Yes"	0.1
8	0.977513029733424	5	5	"CO2"	"Yes"	0.1
9	0.97752550888087	5	5	"CO2"	"Yes"	0.1
10	0.964465715019475	5	5	"CO2"	"Yes"	0.1
11	0.973039067635511	5	5	"CO2"	"Yes"	0.1
12	0.972587754634354	5	5	"CO2"	"Yes"	0.1
13	0.960356890927515	5	5	"CO2"	"Yes"	0.1
14	0.975674975972877	5	5	"CO2"	"Yes"	0.1
15	0.964601246614452	5	5	"CO2"	"Yes"	0.1
16	0.968366440978929	5	5	"CO2"	"Yes"	0.1
17	0.971898560657985	5	5	"CO2"	"Yes"	0.1
18	0.969801094415009	5	5	"CO2"	"Yes"	0.1
19	0.969074014279051	5	5	"CO2"	"Yes"	0.1
20	0.979971421558314	5	5	"CO2"	"Yes"	0.1
21	0.968203354949867	5	5	"CO2"	"Yes"	0.1
22	0.967977949716777	5	5	"CO2"	"Yes"	0.1
23	0.967143136092107	5	5	"CO2"	"Yes"	0.1
24	0.979843876574122	5	5	"CO2"	"Yes"	0.1
25	0.968470074664765	5	5	"CO2"	"Yes"	0.1
26	0.981883028052659	5	5	"CO2"	"Yes"	0.1
27	0.968593994178536	5	5	"CO2"	"Yes"	0.1
28	0.974453799029133	5	5	"CO2"	"Yes"	0.1
29	0.980104296360454	5	5	"CO2"	"Yes"	0.1
30	0.980620217493277	5	5	"CO2"	"Yes"	0.1
1	0.968495768495768	6	6	"CO2"	"Yes"	0.1
2	0.979799684897592	6	6	"CO2"	"Yes"	0.1
3	0.968225522907473	6	6	"CO2"	"Yes"	0.1
4	0.966412917786061	6	6	"CO2"	"Yes"	0.1
5	0.984218476982088	6	6	"CO2"	"Yes"	0.1
6	0.968395495949569	6	6	"CO2"	"Yes"	0.1
7	0.970996891788971	6	6	"CO2"	"Yes"	0.1
8	0.975623798151479	6	6	"CO2"	"Yes"	0.1
9	0.957496896802637	6	6	"CO2"	"Yes"	0.1
10	0.967723034228897	6	6	"CO2"	"Yes"	0.1
11	0.976901593472317	6	6	"CO2"	"Yes"	0.1
12	0.981564350220925	6	6	"CO2"	"Yes"	0.1
13	0.957150863035194	6	6	"CO2"	"Yes"	0.1
14	0.970563880411357	6	6	"CO2"	"Yes"	0.1
15	0.971412404975812	6	6	"CO2"	"Yes"	0.1
16	0.984177312553201	5	6	"CO2"	"Yes"	0.1
17	0.974207792948965	6	6	"CO2"	"Yes"	0.1
18	0.9808401869952	6	6	"CO2"	"Yes"	0.1
19	0.973053560889239	6	6	"CO2"	"Yes"	0.1
20	0.975356772633034	6	6	"CO2"	"Yes"	0.1
21	0.971315042303357	6	6	"CO2"	"Yes"	0.1
22	0.958114516860202	6	6	"CO2"	"Yes"	0.1
23	0.970311645708037	6	6	"CO2"	"Yes"	0.1
24	0.96540803634978	6	6	"CO2"	"Yes"	0.1
25	0.969167736294808	6	6	"CO2"	"Yes"	0.1
26	0.96423719268606	6	6	"CO2"	"Yes"	0.1
27	0.981826979001625	6	6	"CO2"	"Yes"	0.1
28	0.981273343177278	6	6	"CO2"	"Yes"	0.1
29	0.971927559434661	6	6	"CO2"	"Yes"	0.1
30	0.977106748892556	6	6	"CO2"	"Yes"	0.1
1	0.955680362330609	7	7	"CO2"	"Yes"	0.1
2	0.962090931586508	7	7	"CO2"	"Yes"	0.1
3	0.952797383985848	7	7	"CO2"	"Yes"	0.1
4	0.960710053630408	7	7	"CO2"	"Yes"	0.1
5	0.960501564530001	7	7	"CO2"	"Yes"	0.1
6	0.97732879784689	7	7	"CO2"	"Yes"	0.1
7	0.975341485507246	7	7	"CO2"	"Yes"	0.1
8	0.963142709053214	7	7	"CO2"	"Yes"	0.1
9	0.980007087377237	7	7	"CO2"	"Yes"	0.1
10	0.970644463450219	7	7	"CO2"	"Yes"	0.1
11	0.963123001507486	7	7	"CO2"	"Yes"	0.1
12	0.989083551419986	7	7	"CO2"	"Yes"	0.1
13	0.97609373832474	7	7	"CO2"	"Yes"	0.1
14	0.966303053991152	7	7	"CO2"	"Yes"	0.1
15	0.974081911404062	7	7	"CO2"	"Yes"	0.1
16	0.973739692148419	7	7	"CO2"	"Yes"	0.1
17	0.963862014140252	7	7	"CO2"	"Yes"	0.1
18	0.966017019915789	7	7	"CO2"	"Yes"	0.1
19	0.979287406597412	7	7	"CO2"	"Yes"	0.1
20	0.969467868566444	7	7	"CO2"	"Yes"	0.1
21	0.971063849975262	7	7	"CO2"	"Yes"	0.1
22	0.965143693764907	7	7	"CO2"	"Yes"	0.1
23	0.975198808454159	7	7	"CO2"	"Yes"	0.1
24	0.961146091199369	7	7	"CO2"	"Yes"	0.1
25	0.972408026755853	7	7	"CO2"	"Yes"	0.1
26	0.959601645750486	7	7	"CO2"	"Yes"	0.1
27	0.963920772417064	7	7	"CO2"	"Yes"	0.1
28	0.969422814666167	7	7	"CO2"	"Yes"	0.1
29	0.968683731540904	7	7	"CO2"	"Yes"	0.1
30	0.970310220299873	7	7	"CO2"	"Yes"	0.1
1	0.939019490325151	8	8	"CO2"	"Yes"	0.1
2	0.960459727343459	8	8	"CO2"	"Yes"	0.1
3	0.980578528218087	8	8	"CO2"	"Yes"	0.1
4	0.980603260869565	8	8	"CO2"	"Yes"	0.1
5	0.950448663060655	8	8	"CO2"	"Yes"	0.1
6	0.971542534539589	8	8	"CO2"	"Yes"	0.1
7	0.980260633898245	8	8	"CO2"	"Yes"	0.1
8	0.977242461971526	8	8	"CO2"	"Yes"	0.1
9	0.962108074177315	8	8	"CO2"	"Yes"	0.1
10	0.945628473328378	8	8	"CO2"	"Yes"	0.1
11	0.9572845834641	8	8	"CO2"	"Yes"	0.1
12	0.963703079066003	8	8	"CO2"	"Yes"	0.1
13	0.983800606758029	8	8	"CO2"	"Yes"	0.1
