"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"q_noisy_var"	"noise_level"
26	0.971156263248928	8	10	"CO2"	1	10
27	0.986784254670768	10	10	"CO2"	1	10
28	0.978916969157364	10	10	"CO2"	1	10
29	0.982792678731652	10	10	"CO2"	1	10
30	0.985570794540661	9	10	"CO2"	1	10
1	0.984385550891409	10	11	"CO2"	1	10
2	0.979300484709	11	11	"CO2"	1	10
3	0.968483038092748	11	11	"CO2"	1	10
4	0.986947717231222	9	11	"CO2"	1	10
5	0.986795262442115	8	11	"CO2"	1	10
6	0.982018648621267	9	11	"CO2"	1	10
7	0.982506654381654	9	11	"CO2"	1	10
8	0.975443776198287	10	11	"CO2"	1	10
9	0.97662555372188	9	11	"CO2"	1	10
10	0.980630754528688	11	11	"CO2"	1	10
11	0.985838874246589	11	11	"CO2"	1	10
12	0.97038202975703	8	11	"CO2"	1	10
13	0.979738275757297	10	11	"CO2"	1	10
14	0.981637913836009	9	11	"CO2"	1	10
15	0.981447145027254	9	11	"CO2"	1	10
16	0.960970026733551	9	11	"CO2"	1	10
17	0.978273234673467	11	11	"CO2"	1	10
18	0.985878077539025	9	11	"CO2"	1	10
19	0.978574654738122	11	11	"CO2"	1	10
20	0.971530431816441	10	11	"CO2"	1	10
21	0.977435789382692	9	11	"CO2"	1	10
22	0.975089454155615	8	11	"CO2"	1	10
23	0.986173899558711	11	11	"CO2"	1	10
24	0.980120546765687	9	11	"CO2"	1	10
25	0.979679016825243	9	11	"CO2"	1	10
26	0.984682008889627	11	11	"CO2"	1	10
27	0.974209701422789	9	11	"CO2"	1	10
28	0.970107161318541	10	11	"CO2"	1	10
29	0.978630798795893	9	11	"CO2"	1	10
30	0.976222594666776	11	11	"CO2"	1	10
1	0.978826013728579	9	12	"CO2"	1	10
2	0.986557223563958	11	12	"CO2"	1	10
3	0.979816862474084	11	12	"CO2"	1	10
4	0.980678490495752	10	12	"CO2"	1	10
5	0.978610773806381	12	12	"CO2"	1	10
6	0.982799952055615	8	12	"CO2"	1	10
7	0.981998668612011	10	12	"CO2"	1	10
8	0.97575760818388	12	12	"CO2"	1	10
9	0.981019955284146	11	12	"CO2"	1	10
10	0.977669671337435	10	12	"CO2"	1	10
11	0.973394067555252	9	12	"CO2"	1	10
12	0.980208160020705	10	12	"CO2"	1	10
13	0.991385222164976	10	12	"CO2"	1	10
14	0.974644600440474	11	12	"CO2"	1	10
15	0.972225809923582	10	12	"CO2"	1	10
16	0.992407621549673	11	12	"CO2"	1	10
17	0.987209676165712	11	12	"CO2"	1	10
18	0.982997643419987	10	12	"CO2"	1	10
19	0.973989320720798	9	12	"CO2"	1	10
20	0.981695052210674	9	12	"CO2"	1	10
21	0.980261822797327	10	12	"CO2"	1	10
22	0.975218576333581	9	12	"CO2"	1	10
23	0.979755147955792	10	12	"CO2"	1	10
24	0.975218576333581	11	12	"CO2"	1	10
25	0.968363162803794	10	12	"CO2"	1	10
26	0.989402526338231	8	12	"CO2"	1	10
27	0.983820239505198	11	12	"CO2"	1	10
28	0.977032539884385	9	12	"CO2"	1	10
29	0.979486420550353	11	12	"CO2"	1	10
30	0.985244950932955	8	12	"CO2"	1	10
1	0.970965257387506	9	13	"CO2"	1	10
2	0.975319220963323	10	13	"CO2"	1	10
3	0.98502172699245	10	13	"CO2"	1	10
4	0.974549398337035	10	13	"CO2"	1	10
5	0.97705670272042	10	13	"CO2"	1	10
6	0.977959296618842	8	13	"CO2"	1	10
7	0.989245385563356	10	13	"CO2"	1	10
8	0.986567122994726	7	13	"CO2"	1	10
9	0.984728001232856	8	13	"CO2"	1	10
10	0.975512886139459	11	13	"CO2"	1	10
11	0.983493433331621	9	13	"CO2"	1	10
12	0.981688752793763	10	13	"CO2"	1	10
13	0.983837401198645	9	13	"CO2"	1	10
14	0.980766377196639	10	13	"CO2"	1	10
15	0.979255079958405	9	13	"CO2"	1	10
16	0.980090034257777	12	13	"CO2"	1	10
17	0.981565384154381	10	13	"CO2"	1	10
18	0.982979721402955	8	13	"CO2"	1	10
19	0.979504439780139	9	13	"CO2"	1	10
20	0.984272427931973	9	13	"CO2"	1	10
21	0.981610318546023	8	13	"CO2"	1	10
22	0.979445206017988	10	13	"CO2"	1	10
23	0.97550301635457	11	13	"CO2"	1	10
24	0.984182443098096	10	13	"CO2"	1	10
25	0.987709736790379	9	13	"CO2"	1	10
26	0.9810222477944	10	13	"CO2"	1	10
27	0.97965362251761	11	13	"CO2"	1	10
28	0.981182391423446	12	13	"CO2"	1	10
29	0.979804557118327	11	13	"CO2"	1	10
