"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"q_noisy_var"	"prop_noise_x"
8	0.987282293242495	8	16	"CO2"	1	0
9	0.978127317607731	8	16	"CO2"	1	0
10	0.971502240849437	9	16	"CO2"	1	0
11	0.979067077733974	8	16	"CO2"	1	0
12	0.977364908583366	8	16	"CO2"	1	0
13	0.97197576133175	9	16	"CO2"	1	0
14	0.982344742550681	7	16	"CO2"	1	0
15	0.977626137303557	10	16	"CO2"	1	0
16	0.985816923803907	9	16	"CO2"	1	0
17	0.978887895364331	9	16	"CO2"	1	0
18	0.971765362610395	9	16	"CO2"	1	0
19	0.980014218787665	9	16	"CO2"	1	0
20	0.985997205023754	10	16	"CO2"	1	0
21	0.964848924261041	9	16	"CO2"	1	0
22	0.983229167030579	7	16	"CO2"	1	0
23	0.979020916298927	9	16	"CO2"	1	0
24	0.985860425210754	10	16	"CO2"	1	0
25	0.987093087342693	9	16	"CO2"	1	0
26	0.986141823641824	9	16	"CO2"	1	0
27	0.98038493038493	8	16	"CO2"	1	0
28	0.978142047598393	10	16	"CO2"	1	0
29	0.967321621205116	7	16	"CO2"	1	0
30	0.988142883178422	12	16	"CO2"	1	0
1	0.965895818935729	7	17	"CO2"	1	0
2	0.979998940441458	9	17	"CO2"	1	0
3	0.987026622050207	8	17	"CO2"	1	0
4	0.973948580796054	12	17	"CO2"	1	0
5	0.968021920855308	11	17	"CO2"	1	0
6	0.974345495394444	9	17	"CO2"	1	0
7	0.978579080183762	12	17	"CO2"	1	0
8	0.979525958359396	7	17	"CO2"	1	0
9	0.980357371589599	7	17	"CO2"	1	0
10	0.977342768987909	10	17	"CO2"	1	0
11	0.977665011411484	9	17	"CO2"	1	0
12	0.970951471018609	7	17	"CO2"	1	0
13	0.981539729293779	11	17	"CO2"	1	0
14	0.981527853947427	12	17	"CO2"	1	0
15	0.980354870482339	10	17	"CO2"	1	0
16	0.978219537908976	11	17	"CO2"	1	0
17	0.965703551515607	9	17	"CO2"	1	0
18	0.983891304347826	9	17	"CO2"	1	0
19	0.977784524814228	7	17	"CO2"	1	0
20	0.983474561495275	7	17	"CO2"	1	0
21	0.973711919135196	13	17	"CO2"	1	0
22	0.989121866484042	12	17	"CO2"	1	0
23	0.976793850679869	7	17	"CO2"	1	0
24	0.976247436773753	8	17	"CO2"	1	0
25	0.97634306799699	8	17	"CO2"	1	0
26	0.976120644667195	8	17	"CO2"	1	0
27	0.982378496293421	10	17	"CO2"	1	0
28	0.982670388462433	10	17	"CO2"	1	0
29	0.974420288394345	9	17	"CO2"	1	0
30	0.980298042547166	10	17	"CO2"	1	0
1	0.982217105482698	9	18	"CO2"	1	0
2	0.98219507338222	11	18	"CO2"	1	0
3	0.967807894248741	7	18	"CO2"	1	0
4	0.970283214334173	12	18	"CO2"	1	0
5	0.978618421052632	9	18	"CO2"	1	0
6	0.98016882676304	7	18	"CO2"	1	0
7	0.971066505633742	9	18	"CO2"	1	0
8	0.973680040051721	10	18	"CO2"	1	0
9	0.985163446922682	14	18	"CO2"	1	0
10	0.988668409460489	11	18	"CO2"	1	0
11	0.977805896788369	8	18	"CO2"	1	0
12	0.973222175468125	9	18	"CO2"	1	0
13	0.988659276001866	12	18	"CO2"	1	0
14	0.978993225987891	7	18	"CO2"	1	0
15	0.979205010772018	9	18	"CO2"	1	0
16	0.981502905322431	8	18	"CO2"	1	0
17	0.977754692910516	9	18	"CO2"	1	0
18	0.98303283151437	11	18	"CO2"	1	0
19	0.981170120678242	7	18	"CO2"	1	0
20	0.979274519537621	10	18	"CO2"	1	0
21	0.988375582610242	9	18	"CO2"	1	0
22	0.970205933155573	7	18	"CO2"	1	0
23	0.979803620249093	13	18	"CO2"	1	0
24	0.985644232203114	8	18	"CO2"	1	0
25	0.984264004271077	10	18	"CO2"	1	0
26	0.976394288277512	6	18	"CO2"	1	0
27	0.977962840103297	9	18	"CO2"	1	0
28	0.985159170821661	6	18	"CO2"	1	0
29	0.980493227684506	8	18	"CO2"	1	0
30	0.974042907544978	8	18	"CO2"	1	0
1	0.983298042658679	8	19	"CO2"	1	0
2	0.970965629535238	8	19	"CO2"	1	0
3	0.978756841419848	10	19	"CO2"	1	0
4	0.981725875097716	13	19	"CO2"	1	0
5	0.962680967045414	6	19	"CO2"	1	0
6	0.974890398550725	9	19	"CO2"	1	0
7	0.988776769535876	8	19	"CO2"	1	0
8	0.981381707543266	7	19	"CO2"	1	0
9	0.97625572694086	9	19	"CO2"	1	0
10	0.982823753113011	10	19	"CO2"	1	0
11	0.97422888405225	6	19	"CO2"	1	0
12	0.963468470966669	9	19	"CO2"	1	0
13	0.981027466579214	8	19	"CO2"	1	0
14	0.981185534414435	7	19	"CO2"	1	0
15	0.983505702489474	8	19	"CO2"	1	0
16	0.972697656325975	7	19	"CO2"	1	0
17	0.984659142715309	8	19	"CO2"	1	0
18	0.979861209434709	8	19	"CO2"	1	0
19	0.982610600397109	7	19	"CO2"	1	0
20	0.981225248449526	13	19	"CO2"	1	0
21	0.976875025962697	8	19	"CO2"	1	0
22	0.979138757891603	10	19	"CO2"	1	0
23	0.97527021418647	11	19	"CO2"	1	0
24	0.986185026609579	9	19	"CO2"	1	0
25	0.980772892175189	9	19	"CO2"	1	0
26	0.974093953054349	8	19	"CO2"	1	0
27	0.969128710040563	8	19	"CO2"	1	0
28	0.973853047154336	10	19	"CO2"	1	0
29	0.987101987924356	9	19	"CO2"	1	0
30	0.97896898443378	7	19	"CO2"	1	0
1	0.97662205899616	9	20	"CO2"	1	0
2	0.988610245851152	11	20	"CO2"	1	0
3	0.984387483941362	9	20	"CO2"	1	0
4	0.974095876669658	8	20	"CO2"	1	0
5	0.976215846087737	9	20	"CO2"	1	0
6	0.985784112829717	10	20	"CO2"	1	0
